Eucerin,Eucerin,Bambo,Mima,Mima,Mima,Mima,Mima,Eucerin,Ducray,Eucerin,Filorga
12.95,10.85,4.41,150.0,160.0,160.0,21.0,65.0,9.73,13.93,23.03,47.12
Biocyte,Joolz,Biocyte,Biocyte,Biocyte,Arkopharma,Arkopharma,Biocyte,Biocyte,Depuralina,Biocyte,Arkopharma
17.49,1.0,26.57,24.47,27.97,29.95,17.95,27.97,25.87,17.99,51.73,11.95
Arkopharma,Arkopharma,Arkopharma,Lierac,Easywalker,SVR,Arkopharma,Arkopharma,Depuralina,Pharma,Clementoni,Arkopharma
10.5,12.5,15.5,12.45,399.99,30.03,15.5,11.95,7.19,12.33,32.99,13.95
Tena,Arkopharma,Arkopharma,Arkopharma,Arkopharma,Depuralina,Arkopharma,Arkopharma,Arkopharma,Arkopharma,Arkopharma,Arkopharma
3.4,10.95,11.5,10.95,20.95,14.99,14.95,10.5,10.95,12.95,9.95,11.5
Depuralina,Arkopharma,Molto,Humana,Chicco,Arkopharma,Arkopharma,Arkopharma,Pharma,Molto,Klorane,Arkopharma
14.99,19.95,51.99,15.9,9.99,15.5,25.9,9.95,20.36,51.99,7.63,19.95
Humana,Pharma,Chicco,Pharma,Pharma,Pharma,Arkopharma,Leti,Arkopharma,Foamie,Arkopharma,Arkopharma
25.5,11.48,9.99,11.48,11.01,12.71,10.5,31.5,16.5,6.9,13.95,16.5
Baby,Pharma,Foamie,Foamie,Foamie,Barral,Pharma,Pharma,Chicco,Mustela,Fresubin,Arkopharma
38.99,26.31,6.9,6.9,6.9,19.12,8.46,8.24,11.17,9.26,11.31,10.95
Avène,Vichy,Asalvo,Arkopharma,Pharma,Chicco,Molto,Molto,Arkopharma,Avène,Eucerin,Barral
6.93,10.15,154.99,15.95,20.36,11.92,36.99,51.99,10.5,8.33,15.75,22.32
Filorga,Mighty,Chicco,Arkopharma,Avène,Bioderma,Barral,Sesderma,Easywalker,Filorga,Klorane,Avène
35.92,10.71,27.99,13.9,4.83,13.23,4.83,17.85,899.99,27.12,8.39,13.93
Chicco,Pharma,Rene,Mustela,Foamie,Chicco,Barral,Biocyte,Arkopharma,Arkopharma,Tiny,Tiny
56.18,16.11,4.89,9.78,6.9,8.17,6.23,27.97,13.9,13.5,32.99,32.99
Arkopharma,La,Chicco,Chicco,Tena,SVR,Eucerin,SVR,Klorane,Barral,Avène,Mustela
29.95,12.72,36.79,8.17,20.83,30.03,4.34,5.53,11.55,6.93,16.03,6.12
Ducray,Klorane,Dr,Mustela,Chicco,Vichy,Rene,Filorga,Filorga,SVR,Bioderma,Arkopharma
33.25,12.53,8.4,7.56,29.99,39.12,11.83,48.72,35.12,26.25,13.5,26.95
Chicco,Filorga,Filorga,Vichy,Vichy,Control,Filorga,Molto,Libero,Tonosol,Tonosol,A
8.63,51.92,20.72,14.32,8.72,9.9,19.92,60.99,13.49,14.95,15.8,13.93
A,A,Béaba,Tommee,Tommee,Klorane,Chicco,Chicco,Chicco,Dr,Chicco,Chicco
14.35,14.35,146.61,27.81,27.81,11.19,223.99,103.99,4.88,15.12,17.9,17.9
Klorane,Dr,Dr,Dr,Dr,Medela,Filorga,A,Rene,Eucerin,Eucerin,Humana
3.49,14.0,10.32,8.4,11.12,10.64,55.92,16.03,40.53,10.43,14.63,10.5
Rene,Rene,Rene,Avène,Filorga,Chicco,Chicco,Chicco,Mustela,Pharma,Ducray,Molto
4.89,12.53,12.25,29.33,24.72,13.9,13.9,13.9,10.11,26.31,9.03,36.99
Filorga,Mustela,Chicco,Dr,Molto,Molto,Molto,Chicco,Chicco,Chicco,Chicco,Chicco
49.52,8.08,16.42,7.92,33.99,33.99,33.99,13.9,13.9,13.9,13.9,13.9
Absorvit,Absorvit,Jané,Chicco,Chicco,Dr,Filorga,Dr,Chicco,Jané,Fresubin,Mustela
12.28,9.68,319.2,13.9,13.9,11.12,47.12,7.92,2.18,5.93,9.05,10.63
Chicco,Klorane,Humana,iCandy,iCandy,Mima,Filorga,Klorane,Rene,Mustela,Chicco,Mima
149.92,11.89,19.9,65.0,37.37,55.01,49.52,10.43,11.13,13.18,101.17,55.01
Mima,Mima,Mima,Filorga,Chicco,Filorga,Chicco,Mima,Mima,Mima,Filorga,Bioderma
39.0,39.0,39.0,48.72,11.92,35.92,103.99,39.0,75.0,79.0,38.32,21.9
Eucerin,Eucerin,Bambo,Mima,Mima,Mima,Mima,Mima,Eucerin,Ducray,Eucerin,Filorga
12.95,10.85,4.41,150.0,160.0,160.0,21.0,65.0,9.73,13.93,23.03,47.12
